Plant,Price EUR,Pot Size,Height,Product URL,Catalogue Page
Acer palmatum 'Garnet' €14.69 19 cm 55-75 cm,14.69,19 cm,75 cm,https://www.floraccess.com/en/product/37494/acer-palmatum-garnet/?source=Search,44
Acer palmatum 'Garnet' €32.19 29 cm 60-80 cm,32.19,29 cm,80 cm,https://www.floraccess.com/en/product/43915/acer-palmatum-garnet/?source=Search,160
Acer palmatum 'Garnet' €83.84 40 cm 115-135 cm,83.84,40 cm,135 cm,https://www.floraccess.com/en/product/66599/acer-palmatum-garnet/?source=Search,367
Acer palmatum 'Going Green' €14.69 19 cm 45-65 cm,14.69,19 cm,65 cm,https://www.floraccess.com/en/product/37495/acer-palmatum-going-green/?source=Search,189
Acer palmatum 'Going Green' €3.72 10 cm 35-45 cm,3.72,10 cm,45 cm,https://www.floraccess.com/en/product/37462/acer-palmatum-going-green/?source=Search,61
Acer palmatum 'Going Green' €31.91 24 cm 135-155 cm,31.91,24 cm,155 cm,https://www.floraccess.com/en/product/37548/acer-palmatum-going-green/?source=Search,240
Acer palmatum 'Going Green' €48.74 29 cm 90-110 cm,48.74,29 cm,110 cm,https://www.floraccess.com/en/product/37566/acer-palmatum-going-green/?source=Search,367
Acer palmatum 'Going Green' €8.48 15 cm 45-55 cm,8.48,15 cm,55 cm,https://www.floraccess.com/en/product/37467/acer-palmatum-going-green/?source=Search,206
Acer palmatum 'Hime-shojô' €149.31 40 cm 160-180 cm,149.31,40 cm,180 cm,https://www.floraccess.com/en/product/125176/acer-palmatum-hime-shojo/?source=Search,367
Acer palmatum 'Inaba-shidare' €14.72 19 cm 45-65 cm,14.72,19 cm,65 cm,https://www.floraccess.com/en/product/120371/acer-palmatum-inaba-shidare/?source=Search,367
Acer palmatum 'Inaba-shidare' €192.29 50 cm 140-160 cm,192.29,50 cm,160 cm,https://www.floraccess.com/en/product/125407/acer-palmatum-inaba-shidare/?source=Search,367
Acer palmatum 'Inaba-shidare' €22.06 19 cm 75-95 cm,22.06,19 cm,95 cm,https://www.floraccess.com/en/product/104794/acer-palmatum-inaba-shidare/?source=Search,41
Acer palmatum 'Iyoshi' €3.16 10.5 cm 35-45 cm,3.16,10.5 cm,45 cm,https://www.floraccess.com/en/product/104792/acer-palmatum-iyoshi/?source=Search,237
Acer palmatum 'Jerre Schwartz' €14.49 19 cm 70-90 cm,14.49,19 cm,90 cm,https://www.floraccess.com/en/product/43919/acer-palmatum-jerre-schwartz/?source=Search,78
Acer palmatum 'Jerre Schwartz' €14.69 19 cm 55-75 cm,14.69,19 cm,75 cm,https://www.floraccess.com/en/product/37498/acer-palmatum-jerre-schwartz/?source=Search,215
Acer palmatum 'Jerre Schwartz' €29.26 24 cm 70-90 cm,29.26,24 cm,90 cm,https://www.floraccess.com/en/product/37550/acer-palmatum-jerre-schwartz/?source=Search,367
Acer palmatum 'Jerre Schwartz' €35.66 29 cm 110-130 cm,35.66,29 cm,130 cm,https://www.floraccess.com/en/product/92064/acer-palmatum-jerre-schwartz/?source=Search,367
Acer palmatum 'Jerre Schwartz' €48.74 29 cm 100-120 cm,48.74,29 cm,120 cm,https://www.floraccess.com/en/product/37567/acer-palmatum-jerre-schwartz/?source=Search,367
Acer palmatum 'Jerre Schwartz' €83.84 40 cm 110-130 cm,83.84,40 cm,130 cm,https://www.floraccess.com/en/product/66605/acer-palmatum-jerre-schwartz/?source=Search,367
Acer palmatum 'Katsura' €14.69 19 cm 55-75 cm,14.69,19 cm,75 cm,https://www.floraccess.com/en/product/37500/acer-palmatum-katsura/?source=Search,77
Acer palmatum 'Katsura' €3.11 10.5 cm 30-40 cm,3.11,10.5 cm,40 cm,https://www.floraccess.com/en/product/62645/acer-palmatum-katsura/?source=Search,49
Acer palmatum 'Katsura' €36.36 29 cm 110-130 cm,36.36,29 cm,130 cm,https://www.floraccess.com/en/product/62646/acer-palmatum-katsura/?source=Search,206
Acer palmatum 'Katsura' €55.36 25 cm 45-55 cm,55.36,25 cm,55 cm,https://www.floraccess.com/en/product/121588/acer-palmatum-katsura/?source=Search,241
Acer palmatum 'Katsura' €83.84 40 cm 110-130 cm,83.84,40 cm,130 cm,https://www.floraccess.com/en/product/108479/acer-palmatum-katsura/?source=Search,367
Acer palmatum 'Katsura' €85.27 32 cm 55-75 cm,85.27,32 cm,75 cm,https://www.floraccess.com/en/product/122269/acer-palmatum-katsura/?source=Search,367
Acer palmatum 'Kiyohime' €138.27 22 cm 25-35 cm,138.27,22 cm,35 cm,https://www.floraccess.com/en/product/122311/acer-palmatum-kiyohime/?source=Search,367
Acer palmatum 'Kiyohime' €152.91 26 cm 40-50 cm,152.91,26 cm,50 cm,https://www.floraccess.com/en/product/121587/acer-palmatum-kiyohime/?source=Search,331
Acer palmatum 'Koto-no-ito' €131.58 40 cm 140-160 cm,131.58,40 cm,160 cm,https://www.floraccess.com/en/product/125179/acer-palmatum-koto-no-ito/?source=Search,367
